"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"140","Eternity's Child","Jul 31, 2008","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luc Bernard, SilverSphereStudios","Silver Sphere Studios"
"141","The Abbey - Director's cut","Nov 18, 2008","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alcachofa Soft","Erbe Software"
"142","Build-A-Lot 2: Town of the Year","Apr 29, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hip Soft","Next Game"
"143","Luxor Amun Rising","Jun 10, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"147","Gravitron 2","Aug 31, 2008","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dark Castle Software","Dark Castle Software"
"148","A-Train 8","Mar 21, 2008","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ARTDINK","KOMODO"
"149","Discovery! A Seek and Find Adventure","Jul 29, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"150","Azada","Feb 5, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Games","Big Fish Games"
"151","The Abbey","Aug 25, 2008","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crimson Cow","Strategy First"
"154","Combat Wings","Jul 29, 2008","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","City Interactive S.A.","City Interactive S.A."
"157","Virtual Villagers: The Lost Children","May 12, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Last Day of Work","Last Day of Work"
"159","Fantastic Contraption Classic 1 & 2","Sep 16, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Northway Games","Northway Games"
"162","Fish Tycoon","May 12, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Last Day of Work","Last Day of Work"
"163","Disney High School Musical 3: Senior Year Dance","Oct 28, 2008","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Page 44 Studios","Disney"
"166","My Tribe","Nov 28, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Games","Big Fish Games"
"168","Virtual Villagers: A New Home","May 12, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Last Day of Work","Last Day of Work"
"170","Virtual Villagers - The Secret City","May 28, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Last Day of Work","Last Day of Work"
"172","Farm Frenzy 2","Aug 27, 2008","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alawar","Next Game"
"176","Petz Horsez 2","Jun 13, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ubisoft","Ubisoft"
"192","Touhou Chireiden ~ Subterranean Animism.","Aug 16, 2008","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","上海アリス幻樂団","Mediascape Co., Ltd."
