"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"189","Pioneerz","Mar 11, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Andreil Game","Andreil Game"
"209","Dark Disharmony","Feb 25, 2011","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","d3arts.cz","d3arts.cz"
"210","Ironclads: Anglo Russian War 1866","Jun 21, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Totem games","Strategy First"
"215","Shining Force II","Jan 26, 2011","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SEGA","SEGA"
"217","Demonlisher","Jan 1, 2011","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brain Bombers","Strategy First"
"224","Shining Force","Jan 26, 2011","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SEGA","SEGA"
"226","Streets of Rage 2","Jan 26, 2011","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SEGA","SEGA"
"228","Robin's Island Adventure","Apr 5, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Shaman Games","HH-Games"
"229","Dawn of War II: Retribution – The Last Stand","Apr 20, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)"
"231","Ancients of Ooga","May 20, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bacon Wrapped Games","NinjaBee.com"
"233","Astro Tripper","Sep 15, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PomPom","Pom Pom Games"
"234","Dead Mountaineer's Hotel","Oct 28, 2011","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Electronic Paradise","Akella"
"239","Alien Zombie Megadeath","Oct 18, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PomPom","Pom Pom Games"
"242","Inside a Star-filled Sky","May 14, 2011","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jason Rohrer","Jason Rohrer"
"243","Planet Stronghold","Mar 27, 2011","$18.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"244","Luxor: 5th Passage","Jan 25, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"245","Nancy Drew: Trail of the Twister","Jul 25, 2011","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"248","Legend of Fae","Jul 26, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Endlessfluff Games","Endlessfluff Games"
"251","Cloning Clyde","Mar 15, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bacon Wrapped Games","NinjaBee"
"256","Glowfish","Sep 30, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"261","Nancy Drew: The Captive Curse","Jul 25, 2011","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"262","Always Remember Me","Apr 17, 2011","$17.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"263","Puzzler World 2","Oct 24, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ideas Pad","Puzzler"
"267","Lucid","Jul 19, 2011","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","YeaBoing","YeaBoing"
"270","Nancy Drew: Alibi in Ashes","Nov 2, 2011","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"280","Demolition Company Gold Edition","Aug 4, 2011","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Giants Software","Giants Software"
"283","Touhou Shinreibyou ~ Ten Desires.","Aug 13, 2011","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","上海アリス幻樂団","Mediascape Co., Ltd."
"289","Dinner Date","Mar 1, 2011","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Stout Games","Stout Games"
"62","Demigod","Dec 14, 2011","$9.99","N/A (N/A/76%)","0 .. 20,000","00:00 (00:00)","Gas Powered Games","Stardock Entertainment"
"86","RACE Injection","Nov 18, 2011","$12.99","N/A (N/A/72%)","0 .. 20,000","00:00 (00:00)","SimBin Studios AB","RaceRoom Entertainment AG, SimBin"
"87","Zeit²","Jan 12, 2011","$9.99","N/A (N/A/72%)","0 .. 20,000","00:00 (00:00)","Brightside Games","Ubisoft"
"96","YOU DON’T KNOW JACK","Feb 8, 2011","N/A","N/A (N/A/71%)","0 .. 20,000","00:00 (00:00)","Jellyvision","Nordic Games"
"97","Nuclear Dawn","Sep 26, 2011","$9.99","N/A (N/A/71%)","0 .. 20,000","00:00 (00:00)","GameConnect, InterWave Studios","Iceberg Interactive"
"99","Vertex Dispenser","Jun 10, 2011","$9.99","N/A (N/A/70%)","0 .. 20,000","00:00 (00:00)","Michael Brough","Michael Brough"
"142","Yar's Revenge","Apr 28, 2011","$4.99","N/A (N/A/56%)","0 .. 20,000","00:00 (00:00)","Killspace Entertainment","Atari"
"150","The Haunted: Hells Reach","Oct 24, 2011","$8.99","N/A (N/A/51%)","0 .. 20,000","00:00 (00:00)","KTX Software","Signo & Arte"
"155","APOX","Jan 20, 2011","$14.99","N/A (N/A/48%)","0 .. 20,000","00:00 (00:00)","BlueGiant Interactive","BlueGiant Interactive"
"161","Mishap 2: An Intentional Haunting - Collector's Edition","Jan 28, 2011","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtual Prophecy Entertainment","Namco Networks America, Inc."
"162","Call Me Skyfish","Jun 11, 2011","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UPLN","UPLN"
"163","Tribloos","Feb 6, 2011","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BumpkinBrothers","BumpkinBrothers"
"164","Love And Order","Feb 14, 2011","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"166","Z3TA+ 2","Aug 4, 2011","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cakewalk","Cakewalk"
"178","The Bloobles and the Quest for Chocolate","Feb 4, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Revills Games","The Revills Games"
"179","Crazy Toad","Jan 11, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"181","The Artifacts","Dec 6, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Slap Happy Larry","Slap Happy Larry"
"182","snake::reloaded","Jan 1, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BotBite Industries","BotBite Industries"
"183","Woodcutter Simulator 2011","Jun 18, 2011","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"184","Cliff Hanger","Aug 13, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","syuuyuusya","syuuyuusya"
"185","Chess","Jun 23, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"186","Cryptozookeeper","May 27, 2011","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jolt Country","Jolt Country"
"187","Summer Resort Mogul","Jan 5, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","In Images","Alawar Entertainment"
"188","Hide and Secret: The Lost World","Nov 19, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anarchy Enterprises","Pixel After Pixel"
"190","Death and the Fly","May 23, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Independent Programmist Group","Interplay Inc."
"191","Ironclads: Chincha Islands War 1866","Jun 21, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Totem Games","Strategy First"
"192","Demolition Master 3D","Sep 25, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appmania","Libredia"
"193","Shining in the Darkness","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"194","Hotel Mogul: Las Vegas","May 25, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alawar Southpoint","Alawar Entertainment"
"195","Star Raiders","May 11, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Incinerator Studios","Atari"
"196","Mactabilis","Mar 10, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blazing Bit Games","Blazing Bit Games"
"197","Tesla: The Weather Man","Mar 11, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thoughtquake Studios, LLC","Thoughtquake Studios, LLC"
"198","Magikiras","Mar 11, 2011","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"199","Light Crusader","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"200","Chronicles of Mystery - Secret of the Lost Kingdom","Apr 21, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","City Interactive S.A.","City Interactive S.A."
"201","Art of Murder - Deadly Secrets","Jan 28, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","City Interactive S.A.","City Interactive S.A."
"202","Landstalker: The Treasures of King Nole","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"203","ToeJam & Earl","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"204","Wonder Boy III: Monster Lair","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"205","Blue Libra","Oct 13, 2011","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Orator Games","Orator Games"
"206","Trino","Jan 27, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trinoteam","LoadComplete"
"207","Ironclads: Schleswig War 1864","Jun 21, 2011","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Totem Games","Strategy First"
"208","Digital Diamond Baseball V7","Jan 1, 2011","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curiosity Computing","Cass Consulting Inc"
"211","Born Tubi Wild","Dec 20, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dzsembori","Dzsembori"
"212","Direct Hit: Missile War","Mar 1, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Polynetix Studio, WIWD Development","Polynetix Studio, WIWD Development"
"213","Alien Soldier","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"214","Agricultural Simulator 2012: Deluxe Edition","Nov 25, 2011","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"216","PT Boats: South Gambit","Oct 28, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","studio4","Akella"
"218","Greyhound Manager 2 Rebooted","Jan 1, 2011","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategic Designs Ltd.","Strategic Designs Ltd."
"219","Tales of Lagoona","May 1, 2011","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playcademy","GC Games"
"220","Gunstar Heroes","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"221","Streets of Rage","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"222","A Stroke of Fate: Operation Valkyrie","Oct 28, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SPLine","Akella"
"223","Elizabeth Find M.D. - Diagnosis Mystery - Season 2","Jun 9, 2011","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gunnar Games, Inc.","Ziggurat"
"225","PT Boats: Knights of the Sea","Oct 28, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio4","Akella"
"227","Strategic Command Classic: WWI","Mar 1, 2011","$9.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Software","Slitherine Ltd."
"230","Smash Cars","Oct 18, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Creat Studios Inc",""
"232","Entwined: Strings of Deception","Oct 10, 2011","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Urchin Games","HH-Games"
"235","B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now)","Feb 28, 2011","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Copenhagen Game Collective","Copenhagen Game Productions"
"236","The Clockwork Man","Aug 10, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Total Eclipse","Total Eclipse"
"237","The Clockwork Man: The Hidden World","Sep 23, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Total Eclipse P.C.","Total Eclipse P.C."
"240","Close Combat: The Longest Day","Jun 21, 2011","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategy 3 Tactics","Slitherine LTD."
"241","Close Combat: Wacht am Rhein","Jun 20, 2011","$39.99","N/A (N/A)","0 .. 20,000","04:14 (02:07)","Strategy 3 Tactics","Slitherine LTD."
"246","Close Combat: Cross of Iron","Jun 20, 2011","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategy 3 Tactics","Slitherine Ltd."
"247","Close Combat: Last Stand Arnhem","Jun 21, 2011","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Black Hand Studio","Slitherine Ltd."
"250","Kaptain Brawe: A Brawe New World","Jan 20, 2011","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cateia Games","Cateia Games"
"252","East 73: Magenta Fairytale","Apr 17, 2011","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magenta Factory","Magenta Factory"
"254","The Jolly Gang's Misadventures in Africa / Масяня в полной Африке","Nov 2, 2011","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alawar Stargaze","Alawar Entertainment"
"255","Lonely Yuri","Jun 19, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Night-time Sheep","DLsite"
"259","Drawn: The Painted Tower","Jan 19, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Studios","Big Fish Games"
"285","Cargo! The Quest for Gravity","Apr 21, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ice-Pick Lodge","Ice-Pick Lodge, bitComposer Games, Viva Media, Nordic Games"
