"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"501","Paranautical Activity: Deluxe Atonement Edition","Feb 14, 2013","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Digerati Distribution","Digerati"
"507","Eryi's Action","Nov 19, 2013","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Xtal Sword","Xtal Sword"
"511","Dominions 4: Thrones of Ascension","Dec 5, 2013","$34.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Illwinter Game Design","Illwinter Game Design"
"514","Unholy Heights","Aug 16, 2013","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Petit Depotto","PLAYISM"
"518","Omerta - City of Gangsters","Jan 31, 2013","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"522","Bleed","Jul 3, 2013","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Ian Campbell","Ian Campbell"
"524","Marlow Briggs and the Mask of Death","Sep 20, 2013","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Zootfly","505 Games"
"530","Soul Gambler","Aug 1, 2013","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Ilex Games","Gamestorming"
"536","Electronic Super Joy","Aug 23, 2013","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Michael Todd Games","2&30 Software"
"20","BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien","Feb 26, 2013","$14.99","N/A (N/A/85%)","50,000 .. 100,000","00:00 (00:00)","Gaijin Games","Gaijin Games, Choice Provisions"
"29","Stick it to The Man!","Dec 13, 2013","$7.99","N/A (N/A/83%)","50,000 .. 100,000","00:00 (00:00)","Zoink Games","Ripstone"
"54","Wargame: Airland Battle","May 29, 2013","$19.99","N/A (N/A/80%)","50,000 .. 100,000","04:09 (02:04)","Eugen Systems","Eugen Systems"
"62","TrackMania² Valley","Jul 4, 2013","$19.99","N/A (N/A/79%)","50,000 .. 100,000","00:00 (00:00)","Nadeo","Ubisoft"
"72","Samurai Gunn","Dec 10, 2013","$14.99","N/A (N/A/78%)","50,000 .. 100,000","00:00 (00:00)","Beau Blyth, Doseone","Beau Blyth"
"74","Soundodger+","Oct 11, 2013","$7.99","N/A (N/A/78%)","50,000 .. 100,000","00:00 (00:00)","Studio Bean","Adult Swim Games"
"83","Element4l","May 24, 2013","$8.99","N/A (N/A/77%)","50,000 .. 100,000","00:00 (00:00)","I-Illusions","I-Illusions"
"97","ShootMania Storm","Apr 10, 2013","$19.99","N/A (N/A/76%)","50,000 .. 100,000","00:00 (00:00)","Nadeo","Ubisoft"
"104","Cubetractor","May 29, 2013","$4.99","N/A (N/A/75%)","50,000 .. 100,000","00:00 (00:00)","Ludochip","Ludochip"
"114","Incredipede","Mar 18, 2013","$9.99","N/A (N/A/74%)","50,000 .. 100,000","00:00 (00:00)","Colin Northway with art by Thomas Shahan","Northway Games"
"120","Super Splatters","Jun 26, 2013","N/A","N/A (N/A/73%)","50,000 .. 100,000","00:00 (00:00)","SpikySnail","SpikySnail"
"121","Fist Puncher","Jun 21, 2013","$9.99","N/A (N/A/73%)","50,000 .. 100,000","00:00 (00:00)","Team2Bit","Adult Swim Games"
"122","MirrorMoon EP","Sep 4, 2013","$14.99","N/A (N/A/73%)","50,000 .. 100,000","00:00 (00:00)","Santa Ragione","Santa Ragione"
"124","Fieldrunners 2","Jan 10, 2013","$9.99","N/A (N/A/73%)","50,000 .. 100,000","00:00 (00:00)","Subatomic Studios LLC","Subatomic Studios LLC"
"132","Tetrobot and Co.","Oct 22, 2013","$9.99","N/A (N/A/72%)","50,000 .. 100,000","00:00 (00:00)","Swing Swing Submarine","Swing Swing Submarine"
"143","March of the Eagles","Feb 18, 2013","$19.99","N/A (N/A/71%)","50,000 .. 100,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"155","Ironclad Tactics","Sep 18, 2013","$14.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","Zachtronics","Zachtronics"
"166","Cubemen 2","Apr 8, 2013","$7.99","N/A (N/A/68%)","50,000 .. 100,000","00:00 (00:00)","3 Sprockets","3 Sprockets"
"167","Dark Fall: The Journal","Dec 3, 2013","$4.99","N/A (N/A/68%)","50,000 .. 100,000","00:00 (00:00)","Darkling Room","THQ Nordic"
"179","10,000,000","Jan 15, 2013","$4.99","N/A (N/A/67%)","50,000 .. 100,000","00:00 (00:00)","EightyEightGames","EightyEightGames"
"186","The Novelist","Dec 10, 2013","$4.99","N/A (N/A/66%)","50,000 .. 100,000","00:00 (00:00)","Orthogonal Games",""
"192","Blood of the Werewolf","Oct 28, 2013","$4.99","N/A (N/A/65%)","50,000 .. 100,000","00:00 (00:00)","Scientifically Proven","Ziggurat"
"199","Tiny Brains","Dec 11, 2013","$9.99","N/A (N/A/63%)","50,000 .. 100,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"214","Shattered Haven","Mar 18, 2013","$9.99","N/A (N/A/59%)","50,000 .. 100,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"215","Face Noir","Oct 17, 2013","$9.99","N/A (N/A/59%)","50,000 .. 100,000","00:00 (00:00)","Mad Orange","Phoenix Online Publishing"
"217","Master Reboot","Oct 29, 2013","$14.99","N/A (N/A/59%)","50,000 .. 100,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"224","Two Brothers","Dec 3, 2013","N/A","N/A (N/A/57%)","50,000 .. 100,000","00:00 (00:00)","Ackk Studios","Ackk Studios"
"238","Impire","Feb 14, 2013","$19.99","N/A (N/A/45%)","50,000 .. 100,000","00:00 (00:00)","Cyanide Montreal","Paradox Interactive"
"245","Citadels","Jul 25, 2013","$14.99","N/A (N/A/20%)","50,000 .. 100,000","00:00 (00:00)","Games Distillery s.r.o.","HandyGames"
"251","RaySupreme 3D","Dec 16, 2013","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","BrainDistrict","BrainDistrict"
"257","An Occurrence at Owl Creek Bridge","Feb 12, 2013","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","James Earl Cox III","James Earl Cox III"
"265","Chernobyl Commando","Mar 8, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Silden","KISS ltd"
"266","Castle: Never Judge a Book by its Cover","Jul 9, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Gunnar Games","Viva Media, GameMill"
"276","Absent","Oct 3, 2013","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","FNGames","FNGames"
"277","Darkfall Unholy Wars","Apr 25, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Aventurine SA","Aventurine"
"285","Drunken Wrestlers","Oct 30, 2013","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Oleg Skutte","Endlessfluff Games"
"309","Mage Tower, A Tower Defense Card Game","Feb 11, 2013","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Super Mega® Games","Super Mega® Games"
"311","Might & Magic: Heroes VI - Shades of Darkness","May 2, 2013","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Virtuos","Ubisoft"
"352","Train Simulator: Pacific Surfliner LA - San Diego Route","Oct 17, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"362","Train Simulator: East Coast Main Line London-Peterborough Route Add-On","Dec 5, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"377","The Mysterious Cities of Gold","Nov 20, 2013","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Neko Entertainment","Neko Entertainment"
"379","Huntsman: The Orphanage (Halloween Edition)","Sep 13, 2013","$8.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","ShadowShifters","ShadowShifters"
"383","The 11th Hour","Oct 18, 2013","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Trilobyte Games","Nightdive Studios"
"384","Bridge It +","Nov 18, 2013","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Chronic Logic","Libredia Entertainment"
"388","Alien Spidy","Mar 20, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Enigma SP","Kasedo Games"
"390","The chronicles of Emerland. Solitaire.","Oct 4, 2013","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Rainbow Games","Rainbow Games"
"393","Bad Hotel","Oct 16, 2013","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Lucky Frame","Lucky Frame"
"395","Secret Files: Sam Peters","Oct 18, 2013","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Animation Arts","Ravenscourt"
"396","Woodcutter Simulator 2013","Dec 19, 2013","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"399","InFlux","Sep 18, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Impromptu Games","Impromptu Games"
"400","Agricultural Simulator 2013 - Steam Edition","Jun 7, 2013","$0.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Actalogic","United Independent Entertainment"
"401","Salvation Prophecy","Oct 7, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Firedance Games","Vertigo Gaming Inc."
"406","VelocityUltra","Dec 12, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Curve Studios, FuturLab","Curve Games"
"411","Primal Fears","Jan 8, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DnS Development","DnS Development"
"412","Eleusis","Oct 16, 2013","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nocturnal works","Nocturnal works"
"414","Pandemonium","Oct 8, 2013","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
"416","Dracula: Love Kills","Oct 29, 2013","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Waterlily Games","Frogwares"
"417","Emergency 2014","Nov 15, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sixteen Tons Entertainment","Sixteen Tons Entertainment"
"419","Ms. Splosion Man","Apr 3, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Twisted Pixel Games","Xbox Game Studios"
"426","Zombie Tycoon 2: Brainhov's Revenge","Dec 9, 2013","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Frima Studio","Frima Studio"
"430","3079 -- Block Action RPG","Nov 14, 2013","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Phr00t's Software","Phr00t's Software"
"437","Zack Zero","Apr 29, 2013","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crocodile Entertainment","Crocodile Entertainment"
"438","Paranormal State: Poison Spring","Nov 26, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Teyon","Legacy Games"
"439","Flashback","Oct 1, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","","Ubisoft"
"441","Professional Farmer 2014","Nov 27, 2013","$1.59","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","PlayWay S.A.","United Independent Entertainment"
"445","Zafehouse: Diaries","Sep 6, 2013","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Screwfly Studios","Screwfly Studios"
"451","Retro/Grade","Mar 20, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","24 Caret Games","24 Caret Games"
"454","Bridge Project","Mar 28, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Halycon Media GmbH & Co. KG","THQ Nordic"
"456","Knytt Underground","Oct 25, 2013","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nifflas' Games","Ripstone"
"461","7 Grand Steps: What Ancients Begat","Jun 7, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mousechief","Mousechief"
"463","Artemis Spaceship Bridge Simulator","Sep 16, 2013","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","",""
"464","Bus-Simulator 2012","Nov 22, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:28 (00:14)","TML-Studios","astragon Entertainment"
"468","Kingdoms Rise","Nov 18, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Flyleap Studios Pty. Ltd.","Flyleap Studios Pty. Ltd."
"470","Dragon's Lair","May 17, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Digital Leisure Inc.","Digital Leisure Inc."
"471","Go Home Dinosaurs!","Mar 14, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Fire Hose Games","Fire Hose Games"
"472","Hate Plus","Aug 19, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Love Conquers All Games","Love Conquers All Games"
"476","Ballpoint Universe - Infinite","Dec 17, 2013","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Arachnid Games","Arachnid Games"
"484","Tennis Elbow 2013","Jan 24, 2013","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Mana Games","Mana Games"
"487","Nimble Quest","Dec 6, 2013","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","",""
"491","Nightmares from the Deep 2: The Siren`s Call","Jul 24, 2013","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"494","Vector","Dec 4, 2013","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","","Nekki GmbH"
"506","Anodyne","Mar 22, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Melos Han-Tani, Marina Kittaka","Analgesic Productions"
"527","Ys I & II Chronicles+","Feb 14, 2013","$14.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Nihon Falcom","XSEED Games"
"35","Dominions 3: The Awakening","Sep 10, 2013","$19.99","N/A (N/A/82%)","20,000 .. 50,000","00:00 (00:00)","Illwinter Game Design","Illwinter Game Design"
"48","Dyad","Apr 24, 2013","$14.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","][ Games Inc","Shawn McGrath"
"52","Proteus","Jan 30, 2013","$9.99","N/A (N/A/80%)","20,000 .. 50,000","00:28 (00:14)","Ed Key and David Kanaga","Twisted Tree"
"95","Fester Mudd: Curse of the Gold - Episode 1","Nov 4, 2013","$9.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","",""
"113","BIT.TRIP FATE","Jul 11, 2013","$9.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Gaijin Games","Gaijin Games"
"123","Dungeon Hearts","Mar 28, 2013","$2.99","N/A (N/A/73%)","20,000 .. 50,000","00:00 (00:00)","Cube Roots","Devolver Digital"
"142","Battle Worlds: Kronos","Nov 4, 2013","$19.99","N/A (N/A/71%)","20,000 .. 50,000","00:00 (00:00)","KING Art","KING Art, THQ Nordic"
"149","Retrovirus","Jan 31, 2013","$9.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","Cadenza Interactive","Cadenza Interactive"
"174","Cloudberry Kingdom","Aug 2, 2013","N/A","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","Pwnee Studios","Ubisoft"
"175","A Walk in the Dark","Nov 7, 2013","$6.99","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","","Filament Classic"
"181","Dark Fall 2: Lights Out","Dec 3, 2013","$4.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Darkling Room","THQ Nordic"
"184","Alone in the Dark: The New Nightmare","Oct 29, 2013","$6.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Darkworks, Spiral House","THQ Nordic"
"187","Oozi: Earth Adventure","Dec 5, 2013","$9.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Awesome Games Studio","Awesome Games Studio"
"197","Storm","Jun 27, 2013","$9.99","N/A (N/A/63%)","20,000 .. 50,000","00:00 (00:00)","Eko Software","Eko Software"
"198","Defense Technica","Oct 24, 2013","$14.99","N/A (N/A/63%)","20,000 .. 50,000","00:00 (00:00)","Kuno Interactive","Kuno Interactive"
"201","Bientôt l'été","Feb 6, 2013","$9.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","Tale of Tales","Tale of Tales"
"202","Redshirt","Nov 13, 2013","$9.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","The Tiniest Shark","Positech"
"231","Lords of Football","Apr 5, 2013","$14.99","N/A (N/A/52%)","20,000 .. 50,000","00:00 (00:00)","Geniaware Srl","Fish Eagle"
"235","Bad Bots","May 17, 2013","$4.99","N/A (N/A/49%)","20,000 .. 50,000","00:00 (00:00)","Point Five Projects","Digital Tribe"
"242","Montague's Mount","Nov 19, 2013","$4.99","N/A (N/A/39%)","20,000 .. 50,000","00:00 (00:00)","PolyPusher Studios","PolyPusher Studios"
"247","The Wizard's Lair","Mar 1, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Magicbane","Magicbane"
"259","Tank Operations: European Campaign","Nov 22, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Linked Dimensions","astragon Entertainment"
"260","Porradaria Upgrade","Oct 2, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CleanWaterSoft","CleanWaterSoft"
"261","Farming Giant","May 28, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Actalogic","Toplitz Productions"
"262","Bouboum","Nov 20, 2013","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atelier 801","Atelier 801"
"264","Legends of Aethereus","Sep 27, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Three Gates","Three Gates"
"273","Bunny Must Die! Chelsea and the 7 Devils","Sep 26, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Platine Dispositif","Rockin' Android, Rockin Android"
"279","Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded","Jun 27, 2013","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","nFusion Interactive","Replay Games"
"282","Rising Angels: Reborn","Oct 31, 2013","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IDHAS Studios","Sekai Project"
"287","9.03m","Sep 12, 2013","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Space Budgie","Space Budgie"
"307","Tales of Lagoona 2: Peril at Poseidon Park","May 1, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Playcademy","GC Games"
"312","Galaxia Conquestum","Aug 1, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alien Octopus Studio","Alien Octopus Studio"
"333","World Basketball Tycoon","Nov 18, 2013","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","","Strategy First"
"334","Mermaid Adventures: The Magic Pearl","Dec 16, 2013","$3.17","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","First Games Interactive","First Games Interactive"
"339","Slam Bolt Scrappers","Mar 14, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fire Hose Games","Fire Hose Games"
"344","Perfection.","Aug 28, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Greg Lobanov",""
"346","Zombie Apocalypse: Escape The Undead City","Nov 25, 2013","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Anarchy Enterprises","Anarchy Enterprises"
"348","Jack Keane 2 - The Fire Within","Jun 28, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deck 13","astragon Entertainment"
"358","Gravi","Oct 8, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hashbang Games",""
"363","The Fog: Trap for Moths","Dec 3, 2013","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Creobit","Alawar Entertainment"
"365","Gentlemen!","Nov 5, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lucky Frame","Blazing Griffin"
"371","Ride 'em Low","Nov 4, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Red Dot Games, PLAY","Libredia"
"372","Wooden Sen'SeY","Dec 5, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Upper Byte","Spawn Digital"
"373","Postmortem: One Must Die (Extended Cut)","Dec 3, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Unbound Creations","Unbound Creations"
"374","Agricultural Simulator: Historical Farming","Nov 6, 2013","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Actalogic","United Independent Entertainment"
"375","MUD Motocross World Championship","Feb 26, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","BANDAI NAMCO Entertainment"
"378","Deathtrap Dungeon","Oct 3, 2013","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","","Square Enix"
"380","Dead Sky","Nov 22, 2013","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","",""
"381","Skyscraper Simulator","Oct 21, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Actalogic","Libredia"
"385","Angelica Weaver: Catch Me When You Can","Jan 7, 2013","$13.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"386","Joe Danger","Jun 24, 2013","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hello Games","Hello Games"
"391","Luxor 2 HD","May 13, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MumboJumbo","Accelerate Games"
"392","YOU DON'T KNOW JACK Vol. 4 The Ride","Nov 5, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jackbox Games, Inc.","Jackbox Games, Inc."
"394","Finders","Aug 15, 2013","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alawar Entertainment, Amegami","ESDigital Games"
"397","Urban Chaos","Oct 15, 2013","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mucky Foot Productions Ltd, My Little Planet Ltd","My Little Planet Ltd"
"404","Tomb Raider - The Final Hours Digital Book","Mar 7, 2013","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Geoff Keighley","Geoff Keighley"
"407","Gimbal","Nov 19, 2013","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","8888888 LABS","8888888 LABS"
"409","Poöf","Nov 8, 2013","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arkedo","Neko Entertainment"
"413","Tiny Barbarian DX","Dec 3, 2013","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","StarQuail Games","Nicalis, Inc."
"415","Mr. Bree+","Nov 26, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TawStudio Entertainment","TawStudio Entertainment"
"418","Nancy Drew: Ghost of Thornton Hall","May 14, 2013","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive, Inc.","HeR Interactive"
"425","Reach for the Sun","May 6, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Filament Classic","Filament Classic"
"431","Tribloos 2","Jan 12, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BumpkinBrothers","BumpkinBrothers"
"433","Truck Racer","Oct 18, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kylotonn Entertainment","Plug In Digital, Nacon"
"443","Paranormal","Sep 12, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matt Cohen","Matt Cohen"
"446","Touhou Kishinjou ~ Double Dealing Character.","Aug 12, 2013","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","上海アリス幻樂団","Mediascape Co., Ltd."
"449","Farm Frenzy 4","Aug 1, 2013","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alawar Entertainment","ESDigital Games"
"450","Elder Sign: Omens","Nov 27, 2013","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fantasy Flight Publishing, Inc.","Fantasy Flight Publishing, Inc."
"455","Intake","Nov 6, 2013","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cipher Prime Studios","Cipher Prime Studios"
"457","Ski Region Simulator - Gold Edition","Jan 16, 2013","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Giants Software","Giants Software"
"465","MURI","Dec 6, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ludosity, Remar Games","Ludosity"
"466","Super Puzzle Platformer Deluxe","May 24, 2013","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Andrew Morrish","Adult Swim Games"
"485","Escape Goat","Oct 9, 2013","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MagicalTimeBean","MagicalTimeBean"
"488","Nameless ~The one thing you must recall~","Nov 11, 2013","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon","Cheritz"
"499","DisplayFusion","Mar 29, 2013","$34.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Binary Fortress Software","Binary Fortress Software"
"523","Super Amazing Wagon Adventure","Oct 17, 2013","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","sparsevector","sparsevector"
"50","La-Mulana","Apr 15, 2013","$14.99","N/A (N/A/80%)","0 .. 20,000","00:33 (00:16)","NIGORO","PLAYISM"
"164","A Valley Without Wind 2","Feb 18, 2013","$14.99","N/A (N/A/68%)","0 .. 20,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"165","Rain Blood Chronicles: Mirage","Nov 11, 2013","$4.99","N/A (N/A/68%)","0 .. 20,000","00:00 (00:00)","","Origo Games"
"182","Armada 2526 Gold Edition","Feb 28, 2013","$19.99","N/A (N/A/66%)","0 .. 20,000","00:00 (00:00)","Ntronium Games","Iceberg Interactive"
"207","Signal Ops","Apr 2, 2013","$9.99","N/A (N/A/61%)","0 .. 20,000","00:00 (00:00)","Space Bullet Dynamics Corporation","Space Bullet Dynamics Corporation"
"236","Hexodius","Jun 21, 2013","$9.99","N/A (N/A/47%)","0 .. 20,000","00:00 (00:00)","Brain Slap Studio","BANDAI NAMCO Entertainment"
"246","Forever Lost: Episode 2","Jun 20, 2013","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Glitch Games Ltd","Glitch Games Ltd"
"248","Cakewalk Sound Center","Apr 23, 2013","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cakewalk","Cakewalk"
"250","Romans from Mars (Free-to-Play)","Dec 19, 2013","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sidekick, Cavetap","Majesco"
"252","Final Warrior Quest","Nov 13, 2013","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Game Brewery","The Game Brewery"
