"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"28","Counter-Strike: Global Offensive","Aug 21, 2012","Free","N/A (N/A/83%)","100,000,000 .. 200,000,000","10:21 (04:24)","Valve","Valve"
"6","Borderlands 2","Sep 17, 2012","$19.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","02:44 (04:28)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"64","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","10,000,000 .. 20,000,000","05:39 (02:11)","SCS Software","SCS Software"
"159","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","03:47 (03:46)","MY.GAMES","MY.GAMES"
"21","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","10:34 (10:33)","Rogue Planet Games","Daybreak Game Company"
"63","Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","00:00 (00:00)","Torn Banner Studios","Torn Banner Studios"
"414","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","02:41 (03:19)","The Behemoth","The Behemoth"
"2","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:24 (00:23)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"3","Dishonored","Oct 8, 2012","$2.49","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:00 (05:00)","Arkane Studios","Bethesda Softworks"
"5","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:00 (00:00)","Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)"
"9","Torchlight II","Sep 20, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:10 (01:05)","Runic Games","Gearbox Publishing"
"10","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:18 (00:09)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"11","Far Cry 3","Dec 4, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","04:59 (03:30)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
"13","Max Payne 3","May 31, 2012","$19.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","01:29 (00:44)","Rockstar Studios","Rockstar Games"
"17","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"18","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","FromSoftware","Bandai Namco Entertainment"
"19","Hotline Miami","Oct 23, 2012","$9.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:17 (00:11)","Dennaton Games","Devolver Digital"
"22","FTL: Faster Than Light","Sep 14, 2012","$9.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","01:30 (02:15)","Subset Games","Subset Games"
"26","Orcs Must Die! 2","Jul 30, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
"27","Alan Wake","Feb 16, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","05:15 (06:10)","Remedy Entertainment","Remedy Entertainment"
"32","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","06:32 (06:32)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
"33","Realm of the Mad God Exalt","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","11:04 (05:32)","Wild Shadow Studios, Deca Games","Deca Games"
"34","The Walking Dead","Apr 24, 2012","$14.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","11:03 (05:31)","Telltale Games","Skybound Games"
"35","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"44","Age of Empires III (2007)","Jan 5, 2012","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Ensemble Studios","Xbox Game Studios"
"62","Hitman: Absolution","Nov 19, 2012","$19.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","Io-Interactive A/S","Io-Interactive A/S"
"71","Awesomenauts - the 2D moba","Aug 1, 2012","Free","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:55 (00:27)","Ronimo Games","Ronimo Games"
"79","The Darkness II","Feb 9, 2012","$29.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Digital Extremes","2K"
"89","Spec Ops: The Line","Jun 25, 2012","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","YAGER","2K, Missing Link Games"
"99","Blacklight: Retribution","Jul 2, 2012","N/A","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
"109","Call of Duty: Black Ops II","Nov 12, 2012","$19.79","N/A (N/A/74%)","2,000,000 .. 5,000,000","06:19 (03:09)","Treyarch","Activision"
"230","Gotham City Impostors Free to Play","Aug 30, 2012","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Monolith Productions, Inc.","Warner Bros. Interactive Entertainment"
"231","Source Filmmaker","Jul 10, 2012","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:16 (01:08)","Valve","Valve"
"8","Super Hexagon","Nov 27, 2012","$2.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","00:28 (00:27)","Terry Cavanagh","Terry Cavanagh"
"16","Tribes: Ascend","Jun 27, 2012","Free","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Hi-Rez Studios","Hi-Rez Studios"
"45","To the Moon","Sep 7, 2012","$9.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:01 (00:00)","Freebird Games","Freebird Games"
"55","Assassin’s Creed III","Nov 20, 2012","N/A","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"56","LEGO The Lord of the Rings","Nov 27, 2012","$19.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:18 (00:09)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"57","Natural Selection 2","Oct 30, 2012","$4.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"77","ENDLESS Space - Definitive Edition","Jul 4, 2012","$9.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","AMPLITUDE Studios","SEGA"
"87","Vindictus","Jun 22, 2012","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","devCAT","NEXON Korea Corp. & NEXON America Inc."
"88","Prototype 2","Jul 24, 2012","$9.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Radical Entertainment","Activision"
"97","Stronghold Kingdoms","Feb 27, 2012","Free","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"98","Scribblenauts Unlimited","Nov 19, 2012","$19.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","5th Cell Media","Warner Bros. Interactive Entertainment"
"107","Deponia","Aug 6, 2012","$0.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"108","Serious Sam 2","Jan 31, 2012","$9.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Croteam","Devolver Digital"
"120","Alan Wake's American Nightmare","May 22, 2012","$8.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:37 (00:18)","Remedy Entertainment","Remedy Entertainment"
"121","Worms Revolution","Oct 10, 2012","$14.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:00 (00:00)","Team17 Digital Ltd","Team17 Digital Ltd"
"150","Hell Yeah! Wrath of the Dead Rabbit","Oct 3, 2012","$14.99","N/A (N/A/64%)","1,000,000 .. 2,000,000","00:00 (00:00)","Arkedo","SEGA"
"152","Guns of Icarus Online","Oct 29, 2012","$4.99","N/A (N/A/64%)","1,000,000 .. 2,000,000","00:00 (00:00)","Muse Games","Muse Games"
"188","Cortex Command","Sep 28, 2012","$19.99","N/A (N/A/44%)","1,000,000 .. 2,000,000","00:00 (00:00)","Data Realms","Data Realms, LLC"
"223","Brick-Force","Jul 12, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Exe Games Inc.","Infernum Games GmbH"
"227","Dungeons & Dragons Online","Jun 25, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"229","MapleStory","Aug 9, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","07:06 (06:52)","Nexon","Nexon America Inc."
"410","Jet Set Radio","Sep 19, 2012","$7.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Blit Software","SEGA"
"411","DOOM 3","Oct 15, 2012","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","04:21 (02:10)","id Software","Bethesda Softworks"
"412","Sonic Adventure 2","Nov 19, 2012","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","04:30 (02:15)","SEGA","SEGA"
"413","STAR WARS Knights of the Old Republic II - The Sith Lords","Aug 23, 2012","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Lucasfilm, Aspyr (Mac, Linux)"
"1","Thief Gold","May 22, 2012","$6.99","N/A (N/A/92%)","500,000 .. 1,000,000","00:00 (00:00)","Looking Glass Studios","Eidos Interactive Corp."
"25","Superbrothers: Sword & Sworcery EP","Apr 16, 2012","$7.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Capybara, Superbrothers, Jim Guthrie","Capybara Games"
"31","Legend of Grimrock","Apr 11, 2012","$14.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Almost Human Games","Almost Human Games"
"41","Wargame: European Escalation","Feb 22, 2012","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Eugen Systems","Eugen Systems"
"42","Divine Divinity","Jul 5, 2012","$5.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:01 (00:00)","Larian Studios","Larian Studios"
"67","Chaos on Deponia","Nov 6, 2012","$1.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"69","Deadlight","Oct 25, 2012","$14.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Tequila Works, S.L.","Xbox Game Studios"
"70","Need for Speed Most Wanted","Oct 30, 2012","$19.99","N/A (N/A/78%)","500,000 .. 1,000,000","01:03 (00:47)","Criterion Games","Electronic Arts"
"78","Thomas Was Alone","Nov 12, 2012","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Bithell Games","Bithell Games"
"86","McPixel","Sep 25, 2012","$4.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Sos Sosowski","Sos Sosowski"
"96","Tiny and Big: Grandpa's Leftovers","Jun 19, 2012","$11.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Black Pants Studio","Black Pants Studio"
"118","The Testament of Sherlock Holmes","Sep 25, 2012","$2.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Frogwares","Frogwares"
"119","Hard Reset Extended Edition","Jul 12, 2012","$14.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Flying Wild Hog","Good Shepherd Entertainment"
"127","Warlock - Master of the Arcane","May 8, 2012","$24.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Ino-Co Plus","Paradox Interactive"
"135","Risen 2: Dark Waters","Apr 26, 2012","$9.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Piranha Bytes","THQ Nordic"
"137","Binary Domain","Apr 27, 2012","$14.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Devil's Details","SEGA"
"138","Little Inferno","Nov 19, 2012","$14.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Tomorrow Corporation","Tomorrow Corporation"
"155","Pid","Oct 31, 2012","$19.99","N/A (N/A/63%)","500,000 .. 1,000,000","00:00 (00:00)","Might and Delight","Might and Delight"
"160","Dream Pinball 3D","Sep 19, 2012","$6.99","N/A (N/A/61%)","500,000 .. 1,000,000","00:00 (00:00)","ASK Homework","Topware Interactive ACE"
"166","Lucius","Oct 26, 2012","$9.99","N/A (N/A/59%)","500,000 .. 1,000,000","00:00 (00:00)","Shiver Games","Shiver Games"
"174","Iron Front: Digital War Edition","May 25, 2012","$14.99","N/A (N/A/55%)","500,000 .. 1,000,000","00:00 (00:00)","X1 Software, AWAR","Deep Silver"
"219","Continent of the Ninth Seal","Sep 13, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","VALOFE, Webzen","VALOFE"
"221","Dwarfs - F2P","Oct 18, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Power of 2","Tripwire Interactive"
"222","EverQuest","Dec 13, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Darkpaw Games","Daybreak Game Company"
"224","Dragon Nest","Dec 18, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Eyedentity Games Inc.","Eyedentity Games Inc."
"225","Mabinogi","Dec 6, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NEXON Korea Corp.","Nexon America Inc."
"385","Viking: Battle for Asgard","Oct 17, 2012","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Creative Assembly, PC Port - Hardlight","SEGA"
"387","Tomb Raider III (1998)","Nov 28, 2012","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"388","Reversion - The Escape (1st Chapter)","Mar 21, 2012","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:28 (00:14)","3f Interactive","3f Interactive"
"390","Jagged Alliance 2 - Wildfire","Nov 16, 2012","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","I-deal Games","Topware Interactive"
"393","Stronghold 3 Gold","May 25, 2012","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"394","Really Big Sky","Feb 24, 2012","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Boss Baddie","Ripstone"
"401","Sacred 2 Gold","Dec 21, 2012","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Studio II","THQ Nordic"
"404","Defender's Quest: Valley of the Forgotten (DX edition)","Oct 30, 2012","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Level Up Labs, LLC","Level Up Labs"
"405","Divinity II: Developer's Cut","Oct 29, 2012","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Larian Studios","Larian Studios, Focus Home Interactive"
"406","Tomb Raider I (1996)","Nov 28, 2012","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"408","Ticket to Ride: Classic Edition","May 24, 2012","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Days of Wonder","Days of Wonder, Twin Sails Interactive"
"4","Mass Effect 3 N7 Digital Deluxe Edition (2012)","Mar 6, 2012","$29.99","N/A (N/A/89%)","200,000 .. 500,000","00:00 (00:00)","BioWare","Electronic Arts"
"7","Thirty Flights of Loving","Aug 20, 2012","$4.99","N/A (N/A/88%)","200,000 .. 500,000","00:00 (00:00)","Blendo Games","Blendo Games"
"12","Thief II: The Metal Age","May 22, 2012","$6.99","N/A (N/A/87%)","200,000 .. 500,000","00:00 (00:00)","Looking Glass Studios","Eidos Interactive Corp."
"15","Rayman Origins","Mar 29, 2012","$19.99","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","UBIart Montpellier","Ubisoft"
"23","Galactic Civilizations I: Ultimate Edition","Aug 14, 2012","$9.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Stardock Entertainment","Stardock Entertainment"
"29","The Book of Unwritten Tales","Jul 31, 2012","$19.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","KING Art","THQ Nordic"
"30","Botanicula","May 7, 2012","$3.74","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Amanita Design","Amanita Design"
"37","Wizorb","Mar 14, 2012","$2.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Tribute Games Inc.","Tribute Games Inc."
"38","Vessel","Mar 1, 2012","$4.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Strange Loop Games","IndiePub"
"40","Waveform","Mar 20, 2012","$1.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Eden Industries","Eden Industries"
"43","LEGO Batman 2: DC Super Heroes","Jun 22, 2012","$19.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","TT Games","Warner Bros. Interactive Entertainment"
"51","Stacking","Mar 6, 2012","$9.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"52","Intrusion 2","Sep 11, 2012","$9.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Aleksey Abramenko","Aleksey Abramenko"
"53","LEGO Harry Potter: Years 5-7","Jan 5, 2012","$19.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"54","F1 2012","Sep 17, 2012","N/A","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"58","Offspring Fling!","May 11, 2012","$7.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Kyle Pulver","Kyle Pulver"
"59","Waking Mars","Dec 13, 2012","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Tiger Style","Tiger Style"
"61","Dustforce DX","Jan 17, 2012","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Hitbox Team",""
"65","Closure","Sep 7, 2012","$9.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Eyebrow Interactive","Eyebrow Interactive"
"66","Rocksmith","Oct 16, 2012","N/A","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Ubisoft - San Francisco","Ubisoft"
"68","Condemned: Criminal Origins","Oct 29, 2012","$14.95","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Monolith","SEGA"
"72","Legacy of Kain: Soul Reaver 2","Dec 6, 2012","$6.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Crystal Dynamics","Crystal Dynamics"
"74","Magic: The Gathering - Duels of the Planeswalkers 2013","Jun 20, 2012","N/A","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Stainless Games","Wizards of the Coast LLC"
"75","Giana Sisters: Twisted Dreams","Oct 22, 2012","$14.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Black Forest Games","HandyGames, Black Forest Games"
"76","Quantum Conundrum","Jun 21, 2012","$8.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Airtight Games","Square Enix"
"82","Insanely Twisted Shadow Planet","Apr 17, 2012","$14.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Shadow Planet Productions","Xbox Game Studios"
"85","Ys Origin","May 31, 2012","$19.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Nihon Falcom","XSEED Games"
"90","Iron Brigade","Aug 13, 2012","$14.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"91","Half Minute Hero: Super Mega Neo Climax Ultimate Boy","Sep 27, 2012","$9.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Opus","Marvelous"
"93","The Dream Machine: Chapter 1 & 2","May 11, 2012","$3.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Cockroach Inc.","The Sleeping Machine"
"94","The Dark Eye: Chains of Satinav","Jun 22, 2012","$19.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"95","Edna & Harvey: Harvey's New Eyes","Oct 16, 2012","$19.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"101","Stellar Impact","Apr 12, 2012","N/A","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Tindalos Interactive","Fulqrum Publishing"
"104","King's Bounty: Warriors of the North","Oct 25, 2012","$9.99","N/A (N/A/74%)","200,000 .. 500,000","126:39 (63:19)","Fulqrum Publishing","Fulqrum Publishing"
"106","Rocketbirds: Hardboiled Chicken","Oct 15, 2012","$4.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Ratloop Asia","Reverb Publishing"
"114","Beyond Divinity","Oct 29, 2012","$5.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Larian Studios","Larian Studios"
"124","A New Beginning - Final Cut","Dec 11, 2012","$9.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"125","Shank 2","Feb 7, 2012","$9.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Klei Entertainment","Klei Entertainment"
"126","Toy Soldiers","Apr 27, 2012","$9.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Signal Studios",""
"128","Tom Clancy's Ghost Recon: Future Soldier","Jun 26, 2012","$19.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Ubisoft Paris, Red Storm Entertainment","Ubisoft"
"130","Splice","Jun 13, 2012","$9.99","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Cipher Prime Studios","Cipher Prime Studios"
"133","Home","Aug 31, 2012","$4.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","BancyCo","BancyCo"
"134","Of Orcs And Men","Oct 11, 2012","$14.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio, Spiders","Cyanide Studio, Nacon"
"140","Oil Rush","Jan 25, 2012","Free","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Unigine Corp.","Unigine Corp."
"141","Primal Carnage","Oct 29, 2012","$4.99","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Lukewarm Media","Circle 5 Publishing"
"144","I Am Alive","Sep 6, 2012","$14.99","N/A (N/A/66%)","200,000 .. 500,000","00:00 (00:00)","Ubisoft Shanghaï","Ubisoft"
"146","Sword of the Stars II: Enhanced Edition","Nov 30, 2012","$19.99","N/A (N/A/65%)","200,000 .. 500,000","00:00 (00:00)","Kerberos Productions","Paradox Interactive"
"147","A Virus Named TOM","Aug 1, 2012","$9.99","N/A (N/A/65%)","200,000 .. 500,000","00:00 (00:00)","Misfits Attic","Misfits Attic"
"149","Inquisitor","Sep 5, 2012","$3.39","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","CINEMAX, s.r.o.","CINEMAX, s.r.o."
"151","Painkiller Hell & Damnation","Oct 31, 2012","$1.99","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","The Farm 51","Prime Matter"
"154","Blades of Time","Apr 20, 2012","$9.99","N/A (N/A/63%)","200,000 .. 500,000","00:00 (00:00)","Gaijin Entertainment Corporation","Gaijin Entertainment Corporation"
"157","Jagged Alliance - Back in Action","Feb 8, 2012","$19.99","N/A (N/A/62%)","200,000 .. 500,000","00:00 (00:00)","Coreplay GmbH, Bigmoon Studios","THQ Nordic"
"163","Carrier Command: Gaea Mission","Sep 28, 2012","$6.59","N/A (N/A/60%)","200,000 .. 500,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"165","Tower Wars","Aug 14, 2012","$7.99","N/A (N/A/59%)","200,000 .. 500,000","00:00 (00:00)","SuperVillain Studios","SuperVillain Studios"
"168","Game of Thrones","Jun 7, 2012","$14.99","N/A (N/A/58%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studios",""
"170","Men of War: Condemned Heroes","Apr 12, 2012","$7.99","N/A (N/A/57%)","200,000 .. 500,000","00:00 (00:00)","Fulqrum Publishing","Fulqrum Publishing"
"172","Conflict Desert Storm","May 28, 2012","$6.99","N/A (N/A/56%)","200,000 .. 500,000","00:00 (00:00)","Pivotal Games","Square Enix"
"175","Nexuiz","May 10, 2012","$9.99","N/A (N/A/54%)","200,000 .. 500,000","00:00 (00:00)","IllFonic","IllFonic, Psyop Games"
"181","Krater","Jun 12, 2012","$14.99","N/A (N/A/52%)","200,000 .. 500,000","00:00 (00:00)","Fatshark","Fatshark"
"186","Resident Evil: Operation Raccoon City","May 18, 2012","N/A","N/A (N/A/48%)","200,000 .. 500,000","00:00 (00:00)","Slant Six Games","Capcom Co. Ltd"
"193","Postal III","Feb 17, 2012","$5.99","N/A (N/A/24%)","200,000 .. 500,000","00:00 (00:00)","Trashmasters","Akella"
"215","ROSE Online","Oct 23, 2012","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"216","TDP4:Team Battle","Sep 10, 2012","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JAVELIN OÜ","JAVELIN OÜ"
"220","Wurm Online","Dec 12, 2012","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Code Club AB","Code Club AB"
"226","The Old Tree","Feb 24, 2012","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Red Dwarf Games","Red Dwarf Games"
"228","You Have to Win the Game","May 6, 2012","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Minor Key Games","Minor Key Games"
"335","3SwitcheD","Mar 29, 2012","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reality Pump","Topware Interactive"
"345","English Country Tune","Aug 9, 2012","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","increpare games","increpare games"
"346","Hamlet or the Last Game without MMORPG Features, Shaders and Product Placement","Oct 22, 2012","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Denis Galanin (mif2000)","Denis Galanin (mif2000)"
"350","R.A.W. Realms of Ancient War","Oct 11, 2012","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Wizarbox","Focus Entertainment"
"354","iBomber Defense Pacific","Mar 1, 2012","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cobra Mobile","Cobra Mobile"
"355","Penny Arcade's On the Rain-Slick Precipice of Darkness 3","Jun 25, 2012","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Zeboyd Games","Penny Arcade, Inc."
