"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"190","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","23:54 (11:21)","Amazon Games","Amazon Games"
"799","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","08:52 (05:17)","Iron Gate AB","Coffee Stain Publishing"
"663","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","06:02 (02:31)","343 Industries","Xbox Game Studios"
"791","Battlefield 2042","Nov 19, 2021","$59.99","N/A (N/A)","10,000,000 .. 20,000,000","09:36 (05:18)","DICE","Electronic Arts"
"797","NARAKA: BLADEPOINT","Aug 11, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","08:46 (04:32)","24 Entertainment","NetEase Games Global"
"5","It Takes Two","Mar 25, 2021","$39.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","04:59 (06:13)","Hazelight","Electronic Arts"
"662","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","04:42 (02:39)","Wargaming Group Limited","Wargaming Group Limited"
"19","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","01:36 (00:48)","Sports Interactive","SEGA"
"34","Tales of Arise","Sep 9, 2021","$39.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","06:41 (03:20)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"38","Pathfinder: Wrath of the Righteous - Enhanced Edition","Sep 2, 2021","$39.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","26:02 (39:02)","Owlcat Games","META Publishing, Owlcat Games"
"40","Resident Evil Village","May 6, 2021","$39.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","12:29 (14:07)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"61","Age of Empires IV: Anniversary Edition","Oct 28, 2021","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","08:12 (10:34)","Relic Entertainment, Forgotten Empires, Climax Studios, World's Edge","Xbox Game Studios"
"89","Hell Let Loose","Jul 27, 2021","$44.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","01:06 (00:38)","Team17","Team17"
"654","Century: Age of Ashes","Dec 2, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:19 (02:11)","Playwing LTD","Playwing LTD"
"656","Bless Unleashed","Aug 6, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:21 (01:10)","VALOFE","VALOFE"
"658","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","（Hong Kong）GKD","（Hong Kong）GKD"
"660","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:35 (01:12)","FishSoft LLC","FishSoft LLC"
"781","Poppy Playtime","Oct 12, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:55 (00:36)","Mob Entertainment","Mob Entertainment"
"783","Cookie Clicker","Sep 1, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","08:39 (00:29)","Orteil, DashNet","Playsaurus"
"785","DEVOUR","Jan 28, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","01:58 (01:46)","Straight Back Games","Straight Back Games"
"786","Days Gone","May 17, 2021","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","02:58 (01:29)","Bend Studio","PlayStation PC LLC"
"787","Dyson Sphere Program","Jan 20, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:30 (02:12)","Youthcat Studio","Gamera Games"
"788","Subnautica: Below Zero","May 13, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:05)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"789","Gunfire Reborn","Nov 17, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","02:08 (01:47)","Duoyi Games","Duoyi Games"
"790","Stumble Guys","Oct 7, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","03:14 (01:56)","Scopely","Scopely"
"792","FIFA 22","Oct 1, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","10:09 (13:36)","EA Canada & EA Romania","Electronic Arts"
"793","Inscryption","Oct 19, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","03:41 (05:12)","Daniel Mullins Games","Devolver Digital"
"794","Totally Accurate Battle Simulator","Apr 1, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","05:14 (05:13)","Landfall","Landfall"
"795","Ready or Not","Dec 17, 2021","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","01:36 (01:17)","VOID Interactive","VOID Interactive"
"796","Forza Horizon 5","Nov 8, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","06:35 (04:55)","Playground Games","Xbox Game Studios"
"798","Forza Horizon 4","Mar 9, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","04:23 (04:13)","Playground Games","Xbox Game Studios"
"9951","Capcom Arcade Stadium","May 24, 2021","$10","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"7","DEATHLOOP","Sep 13, 2021","$11.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","01:10 (00:35)","Arkane Studios","Bethesda Softworks"
"15","F1 2021","Jul 15, 2021","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","09:39 (09:38)","Codemasters","Electronic Arts"
"16","Nioh 2 – The Complete Edition","Feb 5, 2021","$49.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","01:13 (00:54)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"17","Mass Effect Legendary Edition","May 14, 2021","$59.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","02:57 (02:43)","BioWare","Electronic Arts"
"20","GUILTY GEAR -STRIVE-","Jun 11, 2021","$39.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","05:00 (04:59)","Arc System Works","Arc System Works"
"37","The Riftbreaker","Oct 14, 2021","$17.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","33:56 (33:55)","EXOR Studios","EXOR Studios, Surefire.Games"
"55","Monster Hunter Stories 2: Wings of Ruin","Jul 8, 2021","$39.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","05:09 (02:34)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"83","Knockout City","May 21, 2021","N/A","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Velan Studios","Velan Studios"
"86","Skul: The Hero Slayer","Jan 20, 2021","$19.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","01:45 (00:52)","SOUTHPAW GAMES","NEOWIZ"
"111","GTFO","Dec 9, 2021","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","01:16 (02:26)","10 Chambers","10 Chambers"
"113","Back 4 Blood","Oct 12, 2021","$59.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","09:26 (21:27)","Turtle Rock Studios","Warner Bros. Games"
"212","Thunder Tier One","Dec 7, 2021","$19.99","N/A (N/A/65%)","1,000,000 .. 2,000,000","00:00 (00:00)","KRAFTON, Inc.","KRAFTON, Inc."
"651","Torque Drift","Apr 20, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Grease Monkey Games","Grease Monkey Games"
"653","Legends of IdleOn - Idle MMO","Apr 2, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","09:51 (05:50)","Lavaflame2","Lavaflame2"
"655","Road 96","Aug 16, 2021","$19.96","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Digixart","Digixart, Ravenscourt"
"657","Cell to Singularity - Evolution Never Ends","Nov 3, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","29:09 (18:56)","Computer Lunch","Computer Lunch"
"659","Krunker","Feb 1, 2021","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:29 (00:14)","FRVR","FRVR"
"661","Super Animal Royale","Aug 26, 2021","N/A","N/A (N/A)","1,000,000 .. 2,000,000","04:56 (02:28)","Pixile","Modus Games"
"675","Swords of Legends Online","Jul 9, 2021","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Wangyuan Shengtang Entertainment Technology CO., 上海烛龙信息科技有限公司","Gameforge 4D GmbH"
"726","Minecraft Dungeons","Sep 22, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Mojang Studios, ‪Double Eleven","Xbox Game Studios"
"733","Legion TD 2 - Multiplayer Tower Defense","Oct 1, 2021","$14.94","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","AutoAttack Games","AutoAttack Games"
"734","Orcs Must Die! 3","Jul 23, 2021","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","01:18 (00:45)","Robot Entertainment","Robot Entertainment"
"747","Cruelty Squad","Jun 15, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:20 (00:28)","Consumer Softproducts","Consumer Softproducts"
"751","The Ascent","Jul 29, 2021","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","27:30 (13:45)","Neon Giant","Curve Games"
"752","Tribes of Midgard","Jul 27, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","03:36 (06:17)","Norsfell","Gearbox Publishing"
"754","Solasta: Crown of the Magister","May 27, 2021","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","20:27 (10:13)","Tactical Adventures","Tactical Adventures"
"757","Aliens: Fireteam Elite","Aug 23, 2021","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cold Iron Studios","Cold Iron Studios, Focus Entertainment"
"760","Sands of Salzaar","Dec 15, 2021","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","汉家松鼠Han-Squirrel Studio","XD"
"762","Townscaper","Aug 26, 2021","$5.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Oskar Stålberg","Raw Fury"
"765","PICO PARK","May 7, 2021","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","01:18 (01:17)","TECOPARK","TECOPARK"
"767","ROUNDS","Apr 1, 2021","$2.99","N/A (N/A)","1,000,000 .. 2,000,000","02:20 (03:12)","Landfall","Landfall"
"770","Paint the Town Red","Jul 29, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","01:02 (01:02)","South East Games","South East Games"
"774","Draw & Guess","Mar 12, 2021","$2.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Acureus","Acureus"
"777","Loop Hero","Mar 4, 2021","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Four Quarters","Devolver Digital"
"778","Bright Memory: Infinite","Nov 11, 2021","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:25 (00:36)","FYQD-Studio","FYQD-Studio, PLAYISM"
"780","OUTRIDERS","Apr 1, 2021","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","00:55 (00:27)","People Can Fly","Square Enix"
"782","Five Nights at Freddy's: Security Breach","Dec 16, 2021","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","09:15 (04:37)","Steel Wool Studios","ScottGames"
"784","Farming Simulator 22","Nov 21, 2021","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","21:14 (26:55)","Giants Software","Giants Software"
"7547","Saving Grace","Jan 2, 2021","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Thomas JC Ironmonger","Ironmonger Games"
"6","Mini Motorways","Jul 20, 2021","$8.99","N/A (N/A/87%)","500,000 .. 1,000,000","04:30 (06:40)","Dinosaur Polo Club","Dinosaur Polo Club"
"13","Wildermyth","Jun 15, 2021","$24.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Worldwalker Games LLC","Worldwalker Games LLC, WhisperGames"
"14","ENDER LILIES: Quietus of the Knights","Jun 21, 2021","$12.49","N/A (N/A/86%)","500,000 .. 1,000,000","12:50 (06:25)","Live Wire, Adglobe","Binary Haze Interactive"
"18","Death's Door","Jul 20, 2021","$19.99","N/A (N/A/85%)","500,000 .. 1,000,000","00:00 (00:00)","Acid Nerve","Devolver Digital"
"32","Griftlands","Jun 1, 2021","$19.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:00 (00:00)","Klei Entertainment","Klei Entertainment"
"33","Unpacking","Nov 1, 2021","$19.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:55 (00:54)","Witch Beam","Humble Games"
"39","Little Nightmares II","Feb 10, 2021","$29.99","N/A (N/A/83%)","500,000 .. 1,000,000","03:09 (01:34)","Tarsier Studios","BANDAI NAMCO Entertainment"
"53","Gloomhaven","Oct 20, 2021","$34.99","N/A (N/A/82%)","500,000 .. 1,000,000","04:15 (02:07)","Flaming Fowl Studios, Saber Interactive","Twin Sails Interactive"
"54","Eastward","Sep 16, 2021","$24.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Pixpil","Chucklefish"
"56","Clone Drone in the Danger Zone","Jul 27, 2021","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","02:32 (02:17)","Doborog Games","Doborog Games"
"60","Doki Doki Literature Club Plus!","Jun 30, 2021","$11.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Team Salvato","Serenity Forge"
"85","Impostor Factory","Sep 30, 2021","$9.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Freebird Games","Freebird Games"
"110","SCARLET NEXUS","Jun 24, 2021","$59.99","N/A (N/A/78%)","500,000 .. 1,000,000","02:11 (02:10)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"112","Jurassic World Evolution 2","Nov 9, 2021","$59.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Frontier Developments","Frontier Developments"
"139","Chernobylite Enhanced Edition","Jul 28, 2021","$29.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","The Farm 51","The Farm 51"
"154","Zombie Army 4: Dead War","Feb 18, 2021","$49.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Rebellion","Rebellion"
"156","Medieval Dynasty","Sep 23, 2021","$34.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:28 (00:14)","Render Cube","Toplitz Productions"
"176","Gas Station Simulator","Sep 15, 2021","$19.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","DRAGO entertainment","DRAGO entertainment, Movie Games S.A., HeartBeat Games"
"177","Breathedge","Feb 25, 2021","$24.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","RedRuins Softworks","HypeTrain Digital, RedRuins Softworks"
"189","Maneater","May 25, 2021","$39.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","Tripwire Interactive","Tripwire Interactive"
"328","极限求生","Mar 3, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","陈 世杰","陈 世杰"
"637","Royal Crown","Feb 23, 2021","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Meerkat Games Corporation","LINE Games Corporation"
"644","League of Maidens","Feb 25, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:07 (00:03)","Maiden Gaming Inc.","Maiden Gaming Inc."
"645","VTube Studio","Mar 12, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:04 (00:02)","DenchiSoft","DenchiSoft"
"650","SuchArt: Creative Space","Jan 21, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Goose Minded","HypeTrain Digital"
"652","Hired Ops","Apr 13, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:26 (00:13)","Absolut Soft LLC","PLAYISM"
"668","Hood: Outlaws & Legends","May 10, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sumo Digital","Focus Entertainment"
"677","Nickelodeon All-Star Brawl","Oct 4, 2021","$49.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ludosity, Fair Play Labs","GameMill Entertainment"
"694","Home Sweet Home : Survive","Mar 25, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","YGGDRAZIL GROUP PUBLIC COMPANY LIMITED","Shift Now"
"698","HighFleet","Jul 27, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konstantin Koshutin","MicroProse Software"
"703","Yakuza 3 Remastered","Jan 28, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"705","Eastern Exorcist","Jul 7, 2021","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Wildfire Game（无锡野火数字科技有限公司）","bilibili"
"706","Record of Lodoss War-Deedlit in Wonder Labyrinth-","Mar 27, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Team Ladybug, WSS playground","WSS playground, PLAYISM"
"708","Crysis Remastered","Sep 17, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:08 (00:07)","Crytek","Crytek"
"710","Airport CEO","Mar 4, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Apog Labs","Apog Labs"
"720","Total War: ROME REMASTERED","Apr 29, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Creative Assembly, Feral Interactive","SEGA"
"721","MELTY BLOOD: TYPE LUMINA","Sep 29, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","03:40 (01:50)","FRENCH-BREAD, TYPE-MOON, Lasengle Inc., TAMSOFT CORPORATION, GameLoop Inc.","Lasengle Inc."
"722","Kingdom Heroes 8","Jan 12, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd."
"723","Sniper Ghost Warrior Contracts 2","Jun 4, 2021","$39.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Underdog Studio","CI Games"
"727","In Silence","Oct 29, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ravenhood Games","Ravenhood Games"
"728","Fear Surrounds","Oct 19, 2021","$7.99","N/A (N/A)","500,000 .. 1,000,000","08:09 (04:04)","SaltyEgg Studio","Yooreka Studio"
"729","Call to Arms - Gates of Hell: Ostfront","Jun 11, 2021","$34.99","N/A (N/A)","500,000 .. 1,000,000","00:41 (00:20)","Barbedwire Studios, Digitalmindsoft","Digitalmindsoft"
"732","Melvor Idle","Nov 18, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","25:28 (32:38)","Games by Malcs","Jagex Ltd"
"737","Life is Strange: True Colors","Sep 9, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Deck Nine","Square Enix"
"738","Webbed","Sep 9, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sbug Games","Sbug Games"
"740","Sword and Fairy 7","Oct 21, 2021","$14.99","N/A (N/A)","500,000 .. 1,000,000","02:56 (01:28)","Softstar Technology (Beijing) Co., Ltd","CubeGame, Softstar Technology (Beijing) Co., Ltd"
"741","Escape Simulator","Oct 19, 2021","$14.99","N/A (N/A)","500,000 .. 1,000,000","03:28 (03:24)","Pine Studio","Pine Studio"
"742","Cyber Manhunt","Feb 2, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Aluba Studio","Aluba Studio"
"744","MADNESS: Project Nexus","Sep 29, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","08:39 (04:19)","GIBBING TREE, LLC","GIBBING TREE, LLC"
"745","Propnight","Dec 1, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","FNTASTIC","Mytona Fntastic"
"748","Going Medieval","Jun 1, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","02:04 (02:04)","Foxy Voxel","The Irregular Corporation"
"749","World War Z","Sep 21, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","05:28 (07:18)","Saber Interactive Inc","Saber Interactive Inc"
"753","Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles","Oct 15, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","CyberConnect2","SEGA"
"755","HUMANKIND","Aug 17, 2021","$49.99","N/A (N/A)","500,000 .. 1,000,000","00:13 (00:06)","AMPLITUDE Studios","SEGA"
"756","Tales from the Borderlands","Feb 16, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Telltale Games","2K"
"763","NieR Replicant ver.1.22474487139...","Apr 23, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Square Enix, Toylogic Inc.","Square Enix"
"764","Timberborn","Sep 15, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","12:08 (18:45)","Mechanistry","Mechanistry"
"766","Car Mechanic Simulator 2021","Aug 11, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","01:25 (00:42)","Red Dot Games","PlayWay S.A."
"768","Library Of Ruina","Aug 10, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","50:11 (25:05)","ProjectMoon","ProjectMoon"
"769","NBA 2K22","Sep 9, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","02:18 (03:14)","Visual Concepts","2K"
"771","ICARUS","Dec 3, 2021","$34.99","N/A (N/A)","500,000 .. 1,000,000","16:16 (12:59)","RocketWerkz","RocketWerkz"
"772","LoveChoice","Nov 15, 2021","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:01 (00:00)","Akaba Studio","Akaba Studio"
"773","SnowRunner","May 17, 2021","$29.99","N/A (N/A)","500,000 .. 1,000,000","01:39 (02:21)","Saber Interactive","Focus Entertainment"
"775","WorldBox - God Simulator","Dec 2, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","06:05 (06:04)","Maxim Karpenko","Maxim Karpenko"
"776","Marvel's Guardians of the Galaxy","Oct 26, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","01:14 (01:14)","Eidos-Montréal","Eidos Interactive Corp."
"779","Firework","Feb 3, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Shiying Studio","Gamera Games"
"3569","Minicraft Shooter","Feb 26, 2021","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Boom Team","Boom Team"
"4160","Retro Run","Jun 30, 2021","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Vander","lilleBror Media"
"6605","Mission Z","Feb 5, 2021","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","New Games Waves, Softwaves","Softwaves Dist."
"9462","My Beautiful Paper Smile","Oct 14, 2021","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Two Star Games","V Publishing, Surefire.Games"
"9853","Olympic Games Tokyo 2020 – The Official Video Game","Jun 21, 2021","$39.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SEGA","SEGA"
"9913","Tails Noir","Jun 8, 2021","$24.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Eggnut","Raw Fury"
"9978","ELYON","Oct 20, 2021","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Bluehole Studio, Inc.","Kakao Games Europe B.V."
"10003","Death Trash","Aug 5, 2021","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Crafting Legends","Crafting Legends"
"1","Tetris Effect: Connected","Aug 17, 2021","$39.99","N/A (N/A/93%)","200,000 .. 500,000","00:45 (00:44)","Monstars Inc., Resonair, Stage Games","Enhance"
"2","OPUS: Echo of Starsong - Full Bloom Edition","Aug 31, 2021","$24.99","N/A (N/A/90%)","200,000 .. 500,000","00:17 (00:08)","SIGONO INC.","SIGONO INC."
"4","Psychonauts 2","Aug 24, 2021","$59.99","N/A (N/A/89%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Xbox Game Studios"
"12","Lacuna – A Sci-Fi Noir Adventure","May 20, 2021","$15.99","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","DigiTales Interactive","Assemble Entertainment, WhisperGames, Mayflower Entertainment"
"29","Heavenly Bodies","Dec 7, 2021","$19.99","N/A (N/A/84%)","200,000 .. 500,000","00:00 (00:00)","2pt Interactive","2pt Interactive"
"31","The Forgotten City","Jul 28, 2021","$24.99","N/A (N/A/84%)","200,000 .. 500,000","01:13 (00:36)","Modern Storyteller","Dear Villagers"
"36","Everhood","Mar 4, 2021","$9.99","N/A (N/A/83%)","200,000 .. 500,000","00:38 (00:19)","Chris Nordgren, Jordi Roca","Foreign Gnomes, Surefire.Games"
"44","Shadow Tactics: Aiko's Choice","Dec 6, 2021","$19.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Mimimi Games","Daedalic Entertainment"
"47","Cyber Shadow","Jan 26, 2021","$19.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Aarne ""MekaSkull"" Hunziker","Yacht Club Games"
"51","The Life and Suffering of Sir Brante","Mar 4, 2021","$19.99","N/A (N/A/82%)","200,000 .. 500,000","02:14 (01:07)","Sever","101XP"
"52","Tainted Grail: Conquest","May 27, 2021","$7.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Questline","Awaken Realms"
"57","GRIME","Aug 2, 2021","$24.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Clover Bite","Akupara Games"
"58","F.I.S.T.: Forged In Shadow Torch","Oct 2, 2021","$29.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","TiGames","bilibili"
"59","Tails of Iron","Sep 17, 2021","$24.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Odd Bug Studio","United Label, CI Games"
"74","The Legend of Tianding","Nov 1, 2021","$19.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Creative Games Computer Graphics Corporation, Neon Doctrine","Neon Doctrine"
"80","Dreamscaper","Aug 5, 2021","$24.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Afterburner Studios","Freedom Games, Maple Whispering Limited"
"81","ATOM RPG Trudograd","Sep 13, 2021","$10.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","AtomTeam","AtomTeam"
"82","The Last Campfire","Oct 7, 2021","$14.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Hello Games","Hello Games"
"84","Ruined King: A League of Legends Story","Nov 16, 2021","$29.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Airship Syndicate","Riot Forge"
"88","Super Robot Wars 30","Oct 27, 2021","$59.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","B.B.STUDIO CO.,LTD.","Bandai Namco Entertainment"
"92","Golf Club Nostalgia","Sep 3, 2021","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Demagog Studio","Untold Tales"
"106","Wytchwood","Dec 9, 2021","$19.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Alientrap","Whitethorn Games, WhisperGames"
"107","Roguebook","Jun 17, 2021","$24.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Abrakam Entertainment SA","Nacon"
"108","Let's Build a Zoo","Nov 5, 2021","$19.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Springloaded","No More Robots"
